Per	rmag

1.38253778	15.141
1.45751176	15.217
6.21630969	15.321
7.93548495	15.389
1.81414752	15.460
7.81370988	15.469
2.34919192	15.477
4.57457353	15.506
3.90744975	15.510
0.66546369	15.521
2.32983528	15.546
3.58997115	15.569
4.15819519	15.595
4.05304235	15.607
6.18431412	15.607
3.24708768	15.611
3.29582945	15.618
3.23022845	15.637
7.30985783	15.716
5.73349922	15.730
5.62523638	15.745
4.10654785	15.760
4.91035517	15.764
6.76682619	15.774
6.12344508	15.792
7.94561941	15.797
5.54920607	15.851
5.59952306	15.865
5.26569614	15.865
4.84118786	15.890
7.26801425	15.916
5.33773559	15.939
5.94782027	15.952
8.87377329	15.952
7.81585427	15.953
6.85933870	15.953
4.90175114	15.961
8.18365774	15.987
6.49307724	16.023
6.35357435	16.023
5.24103255	16.030
6.30448430	16.034
6.26527714	16.040
10.48789616	16.040
5.48626120	16.067
6.40167943	16.071
5.02944220	16.072
5.43522976	16.078
7.42674946	16.091
8.62887656	16.118
5.65583655	16.127
6.31728528	16.130
6.24124975	16.131
5.62650145	16.156
3.20157488	16.168
6.38749487	16.175
5.96419942	16.182
6.16409393	16.230
6.56738754	16.234
6.32824028	16.235
7.16791831	16.236
6.81424597	16.286
3.31337913	16.316
8.13976663	16.322
5.53015111	16.335
7.20822616	16.337
7.82568553	16.350
7.06302611	16.352
6.40177572	16.358
7.33658019	16.365
5.54623752	16.366
6.87146013	16.370
8.09027308	16.388
5.59480216	16.406
6.36059305	16.407
6.55505962	16.407
6.83672527	16.412
6.81100114	16.420
6.32258130	16.421
7.17580161	16.424
3.23358628	16.427
5.60488288	16.433
5.51544326	16.436
7.33788443	16.439
7.26665762	16.443
6.39405961	16.445
6.76681169	16.453
7.13465596	16.457
16.45007932	16.475
6.61069075	16.490
6.52140461	16.494
8.05610881	16.512
6.22142000	16.540
8.18753421	16.564
5.83026804	16.565
1.41945297	16.569
3.66723334	16.572
3.67544359	16.604
6.88972315	16.664
7.37135071	16.664
6.89678049	16.682
5.92967976	16.688
6.29238076	16.694
3.79586333	16.701
7.77582500	16.703
6.21310290	16.706
6.39405961	16.724
7.49376897	16.729
7.40547688	16.731
7.96499360	16.731
7.96596671	16.732
15.58862440	16.742
6.56135434	16.742
7.14284753	16.750
8.01729381	16.751
6.92318376	16.752
7.38885986	16.756
6.88210177	16.764
7.27392423	16.768
3.70322619	16.776
7.34001180	16.795
7.63364417	16.803
7.53198547	16.810
7.55760447	16.816
7.24847518	16.835
6.27270766	16.856
7.06474077	16.862
7.56677824	16.862
7.48413478	16.875
6.78971952	16.899
7.23248459	16.902
7.96738284	16.904
16.86021680	16.910
7.30985783	16.926
7.78455956	16.927
8.21743495	16.931
8.39597841	16.934
8.21743495	16.942
7.22580720	16.962
7.44901820	16.973
7.62148720	16.974
6.90144067	16.984
4.31706870	16.984
7.11670098	16.989
8.11242665	17.006
7.58802293	17.009
7.52287787	17.014
7.40547688	17.017
7.86525917	17.022
1.69428649	17.027
7.39896076	17.036
8.17102706	17.049
8.39258060	17.054
8.16604462	17.062
8.21743495	17.066
4.52466909	17.067
5.09117840	17.069
7.92440764	17.070
8.18753421	17.093
3.98808974	17.095
7.79331656	17.096
7.91462595	17.119
7.86029059	17.121
7.31757888	17.128
6.85782628	17.136
8.45038568	17.170
8.76256338	17.170
8.26116866	17.176
8.48414019	17.196
9.77696810	17.199
7.86327098	17.208
0.62538148	17.212
18.25537171	17.216
8.21743495	17.224
8.29670133	17.231
7.11670098	17.234
8.45071991	17.253
7.51467162	17.256
10.36740667	17.258
10.31618574	17.262
7.73808458	17.267
8.17102706	17.272
8.44957219	17.284
9.38374057	17.286
8.49816940	17.288
9.53766672	17.291
0.98272673	17.291
4.39676325	17.294
7.56679640	17.308
8.18538947	17.313
7.27566366	17.324
8.62184338	17.325
8.21743495	17.344
7.44430082	17.345
7.43296133	17.346
7.78455956	17.351
8.58126897	17.353
7.26082380	17.383
8.75179466	17.391
3.77284427	17.397
7.86029059	17.403
8.79850092	17.409
9.41213313	17.425
8.77244783	17.427
7.17497405	17.435
8.73549565	17.445
8.47604905	17.482
9.12046141	17.485
7.99668380	17.503
8.44154681	17.511
7.79726749	17.511
8.92599742	17.518
9.21009622	17.520
7.87421845	17.526
4.64979073	17.535
9.67561431	17.559
9.73618185	17.563
8.75639343	17.577
8.89663950	17.578
8.76256366	17.582
10.61675768	17.583
9.20328402	17.593
7.83488161	17.598
7.72847205	17.598
8.81220963	17.600
7.79560902	17.626
9.90195829	17.634
8.79598842	17.640
0.88636843	17.643
7.78455956	17.646
9.52306750	17.648
9.92251994	17.659
9.06605831	17.664
8.41870095	17.670
8.76256366	17.682
9.73465811	17.688
9.08103926	17.688
11.14949821	17.690
8.09532710	17.701
8.49886090	17.707
9.71641418	17.708
8.90045780	17.737
8.31740642	17.746
10.63207122	17.748
11.49985213	17.755
8.69639755	17.772
10.35948124	17.774
9.97022436	17.778
8.51083447	17.784
8.93882184	17.797
4.85962672	17.808
17.91367694	17.809
6.13477337	17.810
11.18960432	17.815
9.68030129	17.817
7.00942677	17.819
10.38507546	17.822
9.60837096	17.829
8.76997463	17.833
9.73158257	17.838
9.13459648	17.855
5.13255776	17.863
10.99056537	17.873
7.80504904	17.874
9.90550987	17.882
10.63490598	17.893
7.46869148	17.911
9.89013672	17.913
9.42496591	17.918
9.18968981	17.925
9.97022436	17.936
8.86197733	17.944
10.36557814	17.944
10.17624845	17.961
4.91363349	17.970
10.03454839	17.971
10.25492860	17.972
7.69977723	17.975
10.15630675	17.991
18.97873768	18.005
12.31964396	18.007
10.67138937	18.015
10.70628119	18.037
6.05726804	18.043
17.88333237	18.044
12.12752437	18.046
16.45007932	18.059
10.58587619	18.069
10.38634424	18.069
11.25030741	18.077
8.77029740	18.081
7.46149128	18.083
9.08103926	18.086
7.78455956	18.090
10.21579639	18.091
10.56085398	18.094
10.26636964	18.095
9.81470978	18.113
9.59534066	18.115
11.41335535	18.138
5.89484556	18.142
9.53848489	18.144
11.76071834	18.154
10.33177620	18.155
10.40197291	18.163
5.91043658	18.179
9.73618153	18.184
4.99712466	18.205
0.89698813	18.208
11.26931196	18.217
11.45116878	18.235
10.95320423	18.238
5.14081970	18.251
11.54038212	18.261
11.45609613	18.269
6.27232829	18.272
6.86539395	18.278
1.16960438	18.284
13.94937220	18.285
7.31632591	18.289
10.63490632	18.302
5.12158919	18.306
9.45184802	18.314
8.28307815	18.319
11.60712687	18.319
5.65069936	18.344
10.58064626	18.354
10.61675768	18.364
5.89411447	18.371
2.46100475	18.372
9.21691852	18.379
10.63490598	18.398
4.45829104	18.401
5.02132365	18.408
8.79598842	18.436
12.46527750	18.469
11.41126192	18.491
9.66059006	18.493
12.12752437	18.497
8.93494518	18.497
11.30866972	18.498
11.89161759	18.505
9.40953166	18.509
5.97065259	18.534
2.71416979	18.538
10.66778045	18.547
10.98802543	18.552
9.85649556	18.559
12.27104576	18.570
6.03318464	18.575
2.72153115	18.595
8.11134808	18.622
11.30550609	18.634
9.10629391	18.647
12.61951359	18.661
5.73737638	18.665
5.73402765	18.688
5.97565802	18.701
10.87660839	18.705
11.87293893	18.715
11.40494480	18.720
11.67245779	18.769
3.37400524	18.794
12.24688976	18.797
11.96426962	18.840
1.73845810	18.855
10.59686595	18.864
11.89564092	18.872
3.26470409	18.888
5.07871037	18.888
11.91842912	18.906
12.42144569	18.906
1.31642404	18.908
3.15168186	18.913
1.69921452	18.923
12.27104536	18.940
3.89496025	18.949
12.58054050	18.955
6.52060797	18.971
13.01002547	18.976
7.73713930	18.990
6.56960929	19.019
6.65179087	19.065
11.31167309	19.088
12.39175299	19.116
2.90758111	19.122
12.10393035	19.145
11.43643382	19.155
3.27408694	19.161
1.78632709	19.161
13.12049509	19.180
12.19886314	19.183
9.05197148	19.194
6.83794066	19.210
1.07326777	19.221
3.62279159	19.229
1.20626217	19.233
8.48761255	19.233
14.46162547	19.238
13.07021008	19.249
13.82368889	19.251
12.46777555	19.259
3.52788205	19.281
8.83097260	19.283
3.30873797	19.306
14.88377990	19.334
12.69522490	19.345
14.23491991	19.356
2.14724236	19.397
3.51095937	19.407
7.85433657	19.419
12.07634175	19.425
4.07480485	19.429
18.01743411	19.434
13.73381898	19.463
13.67038642	19.476
1.29421481	19.477
1.84979529	19.483
2.06280504	19.483
13.40823276	19.493
14.20242009	19.501
5.93081030	19.518
15.55355000	19.520
0.65359277	19.546
13.34956223	19.549
6.15007908	19.559
1.47266881	19.567
2.11966202	19.574
1.25255037	19.578
15.95235897	19.582
7.16544080	19.591
1.25820676	19.612
1.97941311	19.648
2.15363473	19.682
12.29529684	19.685
0.85131637	19.688
2.27152547	19.713
8.45071991	19.721
13.84691743	19.723
12.69159527	19.724
16.24391645	19.757
16.44625555	19.764
2.01601426	19.765
7.57127248	19.766
14.67316038	19.768
6.12269685	19.780
13.70356828	19.819
2.73709644	19.839
12.22282908	19.857
2.22583092	19.864
15.91156010	19.866
14.88196172	19.871
4.19181941	19.881
14.84825823	19.943
15.28417690	19.954
14.10433008	19.962
14.91442686	19.965
1.17604960	19.971
1.57040905	19.981
1.38824018	20.017
1.25855603	20.017
12.38833134	20.029
14.95533654	20.081
1.64357383	20.087
18.03310145	20.116
1.18548399	20.124
16.28368586	20.140
14.77647506	20.157
15.78680231	20.183
6.52140482	20.213
4.14434377	20.234
1.95950236	20.235
14.68868949	20.235
16.67737265	20.240
0.65662980	20.242
17.67448920	20.245
14.23665904	20.249
6.38932562	20.266
0.90568471	20.272
0.76646793	20.276
0.73048436	20.307
17.65933829	20.308
1.78754603	20.312
6.28539962	20.332
15.65530951	20.344
13.61361050	20.354
9.00761656	20.373
0.70944648	20.379
16.03863914	20.390
17.91367694	20.399
17.13889807	20.405
1.20040842	20.410
1.40090462	20.415
1.07922623	20.425
6.43238972	20.434
1.39275129	20.454
0.54761201	20.470
16.50244032	20.490
1.95151192	20.490
3.51719544	20.508
3.25558346	20.550
0.71158870	20.553
1.19146907	20.556
10.12846865	20.558
14.74270142	20.562
0.44587431	20.581
2.24396899	20.632
0.76130003	20.641
1.24662525	20.663
0.77933603	20.676
1.77653341	20.680
8.32965591	20.692
0.67514055	20.693
9.25806548	20.699
1.43173671	20.710
0.77035909	20.715
0.78918741	20.788
1.23333571	20.805
9.05481805	20.823
1.43977691	20.828
2.11901226	20.830
13.55429194	20.833
12.95388042	20.835
6.78379675	20.853
1.56948032	20.856
1.62045753	20.857
14.46841907	20.858
0.68071806	20.877
0.49118800	20.880
17.36371755	20.889
16.80556456	20.891
2.26233455	20.899
0.62164468	20.900
0.62898272	20.901
6.69633584	20.912
2.07311563	20.913
0.82867572	20.929
4.46941092	20.945
0.76779218	20.950
0.70925733	20.975
17.61457850	20.985
0.78207668	20.987
15.20750375	20.995
12.96129167	21.012
0.63543630	21.067
10.83871080	21.117
12.59396802	21.141
1.33736457	21.172
15.36524937	21.187
1.46248707	21.223
0.57627568	21.232
15.67108312	21.234
0.51694990	21.253
0.58008578	21.335
0.77690271	21.351
1.68191944	21.356
17.07796136	21.360
5.43051012	21.364
2.46685964	21.366
9.35473083	21.426
2.26205818	21.481
4.21184563	21.541
4.59145387	21.571
0.62071436	21.577
2.36836101	21.624
18.28753674	21.640
12.90481683	21.645
0.44851993	21.665
12.67091650	21.802
0.43234329	21.850
1.70216689	22.001
1.97945275	22.007
0.51753735	22.081
3.84251745	22.139
6.46112784	22.144